id,GLOBAL_SCORE
EK202310003556,131.98108456196783
EK202310170625,150.94599159496286
EK202310167359,151.90039589028834
EK202310118370,136.774992256628
EK202320006361,148.19272705882
EK202310003542,135.82235387630547
EK202310125266,137.89170879317916
EK202310144740,143.44017842161605
EK202310137443,130.7894980195584
EK202310159067,145.89478829460873
EK202310245067,133.50941233803218
EK202310240556,133.56368386968103
EK202310166743,139.0121885803586
EK202310247454,136.44118139035004
EK202310215702,154.5427404845492
EK202310142190,163.21319958267412
EK202310205417,136.5931572199779
EK202310119601,132.37008741434883
EK202310190356,129.69191742604292
EK202310158758,135.90935358457025
EK202310145496,141.30127783241724
EK202310164763,146.9965944951498
EK202310200188,135.47423251739903
EK202310238803,152.69514102349882
EK202320005607,163.38296770898683
EK202310225681,136.8917559112361
EK202310127174,140.75434151066148
EK202310204317,164.54878646528982
EK202310179355,131.73462877399683
EK202310176524,148.4014929856106
EK202310237228,139.26401373869643
EK202310172549,166.13823381503542
EK202310168863,137.82427528955205
EK202310185904,155.91810355575322
EK202310133615,160.68773426191066
EK202310122063,139.9063169745398
EK202310121770,150.11183162361388
EK202310125590,136.25739789173863
EK202310172269,136.81193159827333
EK202310147894,146.06171615626806
EK202310137986,144.9836041107252
EK202310150838,138.44219987541342
EK202310104915,132.53282945975397
EK202310170090,133.29926349880841
EK202310165637,137.93342005780755
EK202310134467,131.16398369086303
EK202310182637,154.55903259949073
EK202310112116,139.5441619693048
EK202310241220,154.46920227181573
EK202310103801,134.8338740524472
EK202310177448,131.5264729933197
EK202310157860,170.7515261836416
EK202310211985,137.4484762136797
EK202310232907,138.83182725390475
EK202310162917,146.06895381815727
EK202310211786,131.56314820214925
EK202310132171,145.6155275717193
EK202310153694,148.65386927059268
EK202310174960,164.22899123359133
EK202310121096,138.6398583222178
EK202310222475,137.8585213471986
EK202310146254,145.5662191666733
EK202310111466,137.37848040345685
EK202310004385,147.6085342130254
EK202310108961,135.10448956920825
EK202310203170,137.6104776299366
EK202310161424,176.52142506697697
EK202310206583,138.6708581800402
EK202310138840,131.07976172595002
EK202310221976,141.01760477482458
EK202310143972,139.88107936348686
EK202310175420,138.33422326371164
EK202310227655,137.46522799995802
EK202310163389,140.144099107156
EK202310239480,133.0721715375722
EK202310146467,131.2943565317223
EK202310162597,142.32855244805492
EK202310194862,143.00172347726703
EK202310152448,138.05972397717167
EK202310245431,145.04185867951884
EK202310206822,160.90556098725594
EK202310166559,155.21678104627952
EK202310221701,153.48674672249643
EK202310231403,131.59865270479483
EK202310156027,135.67540125332872
EK202310135956,142.529433558832
EK202310183176,134.44183642419566
EK202310206055,161.46247649371335
EK202310167360,138.65001674436826
EK202310142701,143.69790737527575
EK202310156629,174.30944075509356
EK202310241352,144.5790124677581
EK202310123587,149.95224688276647
EK202310003639,149.6288409774688
EK202310158269,145.33062683014242
EK202320007090,141.56748822818872
EK202310111707,141.22701432665824
EK202310104096,144.73834676403266
EK202310235404,135.18062552062688
EK202310108783,134.3487637941262
EK202310116298,137.20209350755087
EK202310156281,158.8618121293006
EK202310164483,137.68239050620548
EK202310108212,132.58285999144718
EK202310233950,143.53067788767567
EK202310157041,133.30162691098118
EK202310104522,138.16832647339186
EK202310175972,151.28637106592438
EK202310225965,147.1729788792626
EK202310138403,135.82486534441733
EK202310234452,135.75684599029697
EK202310104614,147.09479483602126
EK202310117970,139.7035474399902
EK202310128727,138.65357137802033
EK202310190230,135.7359906677423
EK202310201465,156.00272607174867
EK202310197534,173.527753843047
EK202310171846,135.13157880957004
EK202310193751,142.143088251708
EK202310242967,138.42359968270154
EK202310112852,165.05141564070257
EK202310132804,144.05202292467098
EK202310127612,140.9233507902158
EK202310136082,177.0045689707144
EK202310186665,149.3783809276606
EK202310156519,139.6124944158162
EK202310108430,145.29196255133792
EK202310164930,136.60218877476987
EK202310153971,157.1547240654689
EK202310129412,133.54099148146557
EK202310124383,144.53824828279525
EK202310215858,150.49923736790436
EK202310104131,141.96965863299636
EK202310185040,139.4125671688002
EK202310119251,143.17189839305104
EK202310191724,147.4613727886407
EK202310149922,130.675813920601
EK202310176193,139.53025359420366
EK202310204311,161.04707964508376
EK202310248324,152.23986426653087
EK202310120496,137.27585222544144
EK202310233548,140.34064142382007
EK202310219178,144.46674320795597
EK202310114723,144.3830561509925
EK202310185832,159.03218407347123
EK202310106587,143.08345064127195
EK202310239252,138.1300968264108
EK202310208710,141.21121968944834
EK202310244056,130.09970180232796
EK202310223702,127.1642068645909
EK202310236969,136.98261124261614
EK202310196070,139.28444730031092
EK202310227710,135.10448956920825
EK202310119702,150.95384918355919
EK202310143351,141.02333754504983
EK202310144967,147.64213773274233
EK202310207097,138.7120640154056
EK202310193281,137.16805073686592
EK202310223068,140.96056527502273
EK202310158743,131.14748524112693
EK202310142353,142.40690446239154
EK202310154024,145.8194525729797
EK202310136326,138.15552774657698
EK202320006526,146.55901071673233
EK202310240160,142.89164852130037
EK202310230270,138.6071313630297
EK202310209591,140.69117245886267
EK202310201937,142.225656511934
EK202310138686,149.40083133849257
EK202310125946,142.21143600773283
EK202310112949,145.5334280558144
EK202310128660,162.12111982430943
EK202310223565,145.99066957497016
EK202310155372,146.85146510169142
EK202310229467,141.55721229635878
EK202310232289,145.73974167899587
EK202310142439,161.2279157001212
EK202310128595,133.1796264152484
EK202310228661,135.47717090604985
EK202310220811,133.63534441133623
EK202310104677,147.47048817241387
EK202310108708,148.01046534940122
EK202310235044,130.51345981138928
EK202310141363,142.99004894746648
EK202310174855,146.26324055340095
EK202310154755,137.9854050338724
EK202310157326,137.97988154398357
EK202310228659,138.18481550911545
EK202310215026,154.04402013557043
EK202310177129,141.7523661901981
