id,GLOBAL_SCORE
EK202310003556,137.53333333333333
EK202310170625,144.73333333333332
EK202310167359,154.36666666666667
EK202310118370,132.8
EK202320006361,154.1
EK202310003542,139.76666666666668
EK202310125266,146.0
EK202310144740,146.23333333333332
EK202310137443,131.36666666666667
EK202310159067,155.03333333333333
EK202310245067,132.7
EK202310240556,134.63333333333333
EK202310166743,131.4
EK202310247454,134.1
EK202310215702,167.23333333333332
EK202310142190,168.86666666666667
EK202310205417,144.46666666666667
EK202310119601,136.63333333333333
EK202310190356,133.76666666666668
EK202310158758,142.3
EK202310145496,133.03333333333333
EK202310164763,152.9
EK202310200188,127.53333333333333
EK202310238803,164.3
EK202320005607,162.1
EK202310225681,139.76666666666668
EK202310127174,135.3
EK202310204317,180.86666666666667
EK202310179355,124.33333333333333
EK202310176524,152.1
EK202310237228,133.16666666666666
EK202310172549,169.56666666666666
EK202310168863,125.56666666666666
EK202310185904,168.6
EK202310133615,163.36666666666667
EK202310122063,141.0
EK202310121770,150.53333333333333
EK202310125590,143.86666666666667
EK202310172269,141.66666666666666
EK202310147894,147.93333333333334
EK202310137986,137.86666666666667
EK202310150838,135.56666666666666
EK202310104915,121.1
EK202310170090,128.36666666666667
EK202310165637,136.46666666666667
EK202310134467,136.3
EK202310182637,162.96666666666667
EK202310112116,140.5
EK202310241220,163.26666666666668
EK202310103801,145.93333333333334
EK202310177448,126.3
EK202310157860,169.93333333333334
EK202310211985,132.46666666666667
EK202310232907,142.86666666666667
EK202310162917,145.4
EK202310211786,132.2
EK202310132171,164.73333333333332
EK202310153694,154.0
EK202310174960,164.33333333333334
EK202310121096,140.36666666666667
EK202310222475,134.4
EK202310146254,144.76666666666668
EK202310111466,140.36666666666667
EK202310004385,156.23333333333332
EK202310108961,139.43333333333334
EK202310203170,134.86666666666667
EK202310161424,164.73333333333332
EK202310206583,154.86666666666667
EK202310138840,129.53333333333333
EK202310221976,131.8
EK202310143972,135.23333333333332
EK202310175420,134.36666666666667
EK202310227655,143.9
EK202310163389,142.0
EK202310239480,132.36666666666667
EK202310146467,132.7
EK202310162597,146.73333333333332
EK202310194862,145.6
EK202310152448,142.13333333333333
EK202310245431,140.36666666666667
EK202310206822,170.7
EK202310166559,150.83333333333334
EK202310221701,146.46666666666667
EK202310231403,139.2
EK202310156027,128.13333333333333
EK202310135956,138.1
EK202310183176,127.23333333333333
EK202310206055,174.6
EK202310167360,146.03333333333333
EK202310142701,138.7
EK202310156629,178.63333333333333
EK202310241352,152.56666666666666
EK202310123587,149.76666666666668
EK202310003639,156.73333333333332
EK202310158269,139.16666666666666
EK202320007090,145.46666666666667
EK202310111707,137.66666666666666
EK202310104096,136.43333333333334
EK202310235404,133.56666666666666
EK202310108783,138.16666666666666
EK202310116298,130.76666666666668
EK202310156281,166.8
EK202310164483,140.76666666666668
EK202310108212,122.16666666666667
EK202310233950,142.76666666666668
EK202310157041,146.36666666666667
EK202310104522,142.13333333333333
EK202310175972,140.63333333333333
EK202310225965,139.96666666666667
EK202310138403,140.26666666666668
EK202310234452,140.66666666666666
EK202310104614,146.13333333333333
EK202310117970,138.83333333333334
EK202310128727,129.8
EK202310190230,141.93333333333334
EK202310201465,152.2
EK202310197534,189.43333333333334
EK202310171846,131.53333333333333
EK202310193751,134.0
EK202310242967,137.2
EK202310112852,175.26666666666668
EK202310132804,126.63333333333334
EK202310127612,145.1
EK202310136082,182.8
EK202310186665,143.86666666666667
EK202310156519,144.6
EK202310108430,143.6
EK202310164930,139.4
EK202310153971,158.13333333333333
EK202310129412,136.13333333333333
EK202310124383,137.63333333333333
EK202310215858,152.8
EK202310104131,157.56666666666666
EK202310185040,139.63333333333333
EK202310119251,138.26666666666668
EK202310191724,149.9
EK202310149922,133.7
EK202310176193,133.73333333333332
EK202310204311,160.9
EK202310248324,157.23333333333332
EK202310120496,132.86666666666667
EK202310233548,140.96666666666667
EK202310219178,143.8
EK202310114723,151.86666666666667
EK202310185832,160.6
EK202310106587,163.86666666666667
EK202310239252,137.76666666666668
EK202310208710,133.63333333333333
EK202310244056,127.26666666666667
EK202310223702,127.56666666666666
EK202310236969,141.16666666666666
EK202310196070,134.13333333333333
EK202310227710,139.3
EK202310119702,145.2
EK202310143351,142.1
EK202310144967,144.13333333333333
EK202310207097,138.96666666666667
EK202310193281,142.63333333333333
EK202310223068,138.46666666666667
EK202310158743,123.0
EK202310142353,136.53333333333333
EK202310154024,151.0
EK202310136326,141.23333333333332
EK202320006526,155.2
EK202310240160,142.66666666666666
EK202310230270,139.83333333333334
EK202310209591,137.93333333333334
EK202310201937,131.56666666666666
EK202310138686,142.1
EK202310125946,138.96666666666667
EK202310112949,132.33333333333334
EK202310128660,155.8
EK202310223565,141.7
EK202310155372,149.3
EK202310229467,135.03333333333333
EK202310232289,142.73333333333332
EK202310142439,155.06666666666666
